Волканов Валентин Дмитрович,1975-09-23,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Volkanov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1285%3A2012-03-05-12-48-09&Itemid=266&lang=uk
Смоленський Євгеній Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1388%3A2012-03-07-10-16-20&Itemid=266&lang=uk
Волошенков  Дмитро Борисович,1981-11-09,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Voloshenkov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1287%3A2012-03-05-12-48-46&Itemid=266&lang=uk
Степаненко Сергій Миколайович,1954-10-21,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Stepanenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1392%3A2012-03-07-10-18-36&Itemid=266&lang=uk
Лемищук Микола Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1353%3A2012-03-07-09-16-46&Itemid=266&lang=uk
Єпур Григорій Володимирович,1956-01-31,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Epyr/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1324%3A2012-03-06-09-03-15&Itemid=266&lang=uk
Сорочан Микола Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1389%3A2012-03-07-10-16-54&Itemid=266&lang=uk
Андрусенко Андрій Глібович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1291%3A2012-03-05-09-27-22&Itemid=266&lang=uk
Лаптієнко Катерина Максимівна,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Laptienko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1351%3A2012-03-07-09-14-16&Itemid=266&lang=uk
Артеменко Анатолій Іванович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1293%3A2012-03-05-09-28-21&Itemid=266&lang=uk
Потапський Олексій Юрійович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1373%3A2012-03-07-10-03-01&Itemid=266&lang=uk
Кучук Михайло Ілліч,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1348%3A2012-03-07-09-11-01&Itemid=266&lang=uk
Албу Олексій Дмитрович,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Alby/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1290%3A2012-03-05-09-25-59&Itemid=266&lang=uk
Мазур Сергій Іванович,1956-09-04,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Mazyr/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1355%3A2012-03-07-09-20-10&Itemid=266&lang=uk
